の,ノ,js,10000
て,テ,js,20000
に,ニ,js,30000
は,ハ,js,40000
だ,ダ,jd,50000
だろ,ダロ,jd,50001
だっ,ダッ,jd,50002
で,デ,jd,50003
だ,ダ,jd,50004
なら,ナラ,jd,50005
を,ヲ,js,60000
が,ガ,js,70000
た,タ,jd,80000
たろ,タロ,jd,80001
たら,タラ,jd,80002
と,ト,js,90000
する,スル,verb,100000
しない,シナイ,verb,100001
される,サレル,verb,100002
します,シマス,verb,100003
すれば,スレバ,verb,100004
しろ,シロ,verb,100005
も,モ,js,110000
で,デ,js,120000
いる,イル,verb,130000
い,イ,verb,130001
いれ,イレ,verb,130002
いろ,イロ,verb,130003
いよ,イヨ,verb,130004
ある,アル,verb,140000
あら,アラ,verb,140001
あろ,アロ,verb,140002
あり,アリ,verb,140003
あっ,アッ,verb,140004
あれ,アレ,verb,140005
いう,イウ,verb,150000
いわ,イワ,verb,150001
いお,イオ,verb,150002
いい,イイ,verb,150003
いて,イテ,verb,150004
いえ,イエ,verb,150005
こと,コト,noun,160000
ます,マス,jd,170000
ませ,マセ,jd,170001
ましょ,マショ,jd,170002
まし,マシ,jd,170003
か,カ,js,180000
ない,ナイ,jd,190000
なかっ,ナカッ,jd,190001
なく,ナク,jd,190002
なけれ,ナケレ,jd,190003
から,カラ,js,200000
れる,レル,jd,210000
れ,レ,jd,210001
れれ,レレ,jd,210002
れろ,レロ,jd,210003
れよ,レヨ,jd,210004
なる,ナル,verb,220000
なら,ナラ,verb,220001
なろ,ナロ,verb,220002
なり,ナリ,verb,220003
なっ,ナッ,verb,220004
なれ,ナレ,verb,220005
です,デス,jd,230000
でしょ,デショ,jd,230001
でし,デシ,jd,230002
ない,ナイ,adj,240000
なかろう,ナカロウ,adj,240001
なかった,ナカッタ,adj,240002
なく,ナク,adj,240003
なければ,ナケレバ,adj,240004
よう,ヨウ,jd,250000
その,ソノ,other,260000
もの,モノ,noun,280000
人,ヒト,noun,290000
それ,ソレ,noun,300000
ず,ズ,jd,310000
ず,ジャロ,jd,310001
ね,ジャッ,jd,310002
この,コノ,other,320000
ば,バ,js,340000
や,ヤ,js,350000
来る,コイ,verb,360000
来ない,コナイ,verb,360001
来よう,コヨウ,verb,360002
来ます,キマス,verb,360003
来た,キタ,verb,360004
来れば,クレバ,verb,360005
来い,コイ,verb,360006
的,テキ,adjv,370000
お,オ,other,380000
いく,イク,verb,390000
い,イ,verb,390001
いれ,イレ,verb,390002
いろ,イロ,verb,390003
いよ,イヨ,verb,390004
見る,ミル,verb,400000
見,ケン,verb,400001
見れ,ミレ,verb,400002
見ろ,ミロ,verb,400003
見よ,ミヨ,verb,400004
年,ネン,sbj,410000
時,トキ,adv,430000
できる,デキル,verb,440000
でき,デキ,verb,440001
できれ,デキレ,verb,440002
できろ,デキロ,verb,440003
できよ,デキヨ,verb,440004
思う,オモウ,verb,450000
思わ,オモワ,verb,450001
思お,オモイオ,verb,450002
思い,オモイ,verb,450003
思て,オモテ,verb,450004
思え,オモエ,verb,450005
何,ナニ,noun,460000
わたくし,ワタクシ,noun,470000
られる,ラレル,jd,480000
られ,ラレ,jd,480001
られれ,ラレレ,jd,480002
られろ,ラレロ,jd,480003
られよ,ラレヨ,jd,480004
これ,コレ,noun,500000
よい,ヨイ,adj,510000
よかろう,ヨカロウ,adj,510001
よかった,ヨカッタ,adj,510002
よく,ヨク,adj,510003
よければ,ヨケレバ,adj,510004
者,シャ,sbj,520000
そう,ソウ,adv,530000
中,チュウ,adv,540000
など,ナド,js,550000
まで,マデ,js,560000
方,ホウ,noun,570000
さん,サン,sbj,580000
ところ,トコロ,adv,590000
へ,ヘ,js,600000
だけ,ダケ,js,620000
ため,タメ,adv,630000
よる,ヨル,verb,650000
よら,ヨラ,verb,650001
よろ,ヨロ,verb,650002
より,ヨリ,verb,650003
よっ,ヨッ,verb,650004
よれ,ヨレ,verb,650005
たち,タチ,sbj,660000
せる,セル,jd,670000
せ,セ,jd,670001
せれ,セレ,jd,670002
せろ,セロ,jd,670003
せよ,セヨ,jd,670004
日,ヒ,noun,680000
よ,ヨ,js,690000
自分,ジブン,noun,700000
日本,ニッポン,noun,710000
ね,ネ,js,720000
また,マタ,other,730000
どう,ドウ,adv,740000
あと,アト,adv,750000
等,トウ,sbj,760000
しまう,シマウ,verb,770000
しまわ,シマワ,verb,770001
しまお,シマオ,verb,770002
しまい,シマイ,verb,770003
しまて,シマテ,verb,770004
しまえ,シマエ,verb,770005
つ,ツ,sbj,780000
持つ,モツ,verb,790000
考える,カンガエル,verb,800000
考え,カンガエ,verb,800001
考えれ,カンガエレ,verb,800002
考えろ,カンガエロ,verb,800003
考えよ,カンガエヨ,verb,800004
たい,タイ,jd,810000
たかろ,タカロ,jd,810001
たかっ,タカッ,jd,810002
たく,タク,jd,810003
たけれ,タケレ,jd,810004
彼,カレ,noun,830000
今,イマ,adv,850000
わかる,ワカル,verb,860000
わから,ワカラ,verb,860001
わかろ,ワカロ,verb,860002
わかり,ワカリ,verb,860003
わかっ,ワカッ,verb,860004
わかれ,ワカレ,verb,860005
やる,ヤル,verb,880000
やら,ヤラ,verb,880001
やろ,ヤロ,verb,880002
やり,ヤリ,verb,880003
やっ,ヤッ,verb,880004
やれ,ヤレ,verb,880005
月,ゲツ,sbj,890000
前,マエ,adv,900000
うえ,ウエ,adv,910000
より,ヨリ,js,920000
出る,デル,verb,930000
出,シュツ,verb,930001
出れ,デレ,verb,930002
出ろ,デロ,verb,930003
出よ,デヨ,verb,930004
たり,タリ,js,940000
さ,サ,sbj,960000
つく,ツク,verb,970000
つか,ツカ,verb,970001
つこ,ツコ,verb,970002
つい,ツイ,verb,970003
つき,ツキ,verb,970004
つけ,ツケ,verb,970005
とる,トル,verb,980000
とら,トラ,verb,980001
とろ,トロ,verb,980002
とり,トリ,verb,980003
とっ,トッ,verb,980004
とれ,トレ,verb,980005
